34,17.26,94.75,56.47,170.32,40.3964958,-4.0231862,610.90,1.21
35,17.24,94.75,56.38,165.16,40.3964958,-4.0231843,610.50,0.36
36,17.30,94.75,56.41,167.10,40.3964958,-4.0231805,609.70,0.63
37,17.26,94.75,56.27,147.10,40.3964996,-4.0231848,610.10,0.46
38,17.35,94.75,56.33,157.42,40.3964996,-4.0231805,609.80,0.32
39,17.33,94.75,56.27,162.58,40.3964996,-4.0231791,609.70,0.31
40,17.30,94.75,56.07,163.87,40.3964996,-4.0231767,609.60,0.76
41,17.35,94.75,56.05,167.10,40.3965034,-4.0231757,610.70,1.18
42,17.39,94.75,55.96,169.03,40.3965034,-4.0231762,611.20,0.30
43,17.33,94.75,55.97,157.42,40.3965034,-4.0231748,610.70,0.06
44,17.31,94.75,55.76,177.42,40.3965034,-4.0231762,610.80,0.37
45,17.42,94.75,55.96,175.48,40.3965034,-4.0231762,612.10,0.30
46,17.31,94.75,55.88,176.13,40.3965034,-4.0231771,612.80,0.33
47,17.39,94.75,55.80,173.55,40.3965034,-4.0231791,613.10,0.22
48,17.41,94.75,56.05,172.90,40.3965034,-4.0231800,613.80,0.21
49,17.42,94.75,55.84,179.35,40.3965034,-4.0231791,614.10,0.35
50,17.37,94.75,55.93,185.16,40.3965034,-4.0231767,613.90,0.31
51,17.26,94.75,55.82,197.42,40.3965034,-4.0231781,613.70,0.19
52,17.39,94.75,55.88,196.77,40.3965034,-4.0231805,613.90,0.35
53,17.41,94.75,55.98,178.06,40.3965034,-4.0231824,613.80,0.38
54,17.39,94.75,56.04,189.03,40.3965034,-4.0231824,613.80,0.23
55,17.42,94.75,56.15,175.48,40.3965034,-4.0231843,613.90,0.26
56,17.39,94.75,56.31,175.48,40.3965034,-4.0231853,614.00,0.20
57,17.44,94.75,56.28,183.23,40.3965034,-4.0231872,613.80,0.33
58,17.46,94.75,56.53,183.23,40.3965034,-4.0231853,613.40,0.07
59,17.44,94.75,56.51,154.19,40.3965034,-4.0231843,613.20,0.56
60,17.48,94.75,56.70,257.42,40.3965034,-4.0231848,613.30,0.30
61,17.44,94.75,56.80,258.06,40.3964996,-4.0231800,612.80,0.72
62,17.42,94.75,56.76,261.94,40.3965034,-4.0231800,612.80,0.36
63,17.42,94.75,56.76,285.81,40.3964996,-4.0231843,613.20,0.41
64,17.37,94.75,56.55,281.94,40.3964996,-4.0231848,613.20,0.58
65,17.44,94.75,56.63,234.19,40.3964996,-4.0231833,613.50,0.49
66,17.46,94.75,56.64,245.81,40.3964996,-4.0231805,613.60,0.24
67,17.52,94.75,56.48,225.16,40.3964996,-4.0231824,613.70,0.38
68,17.52,94.75,56.36,207.74,40.3964996,-4.0231843,613.80,0.30
69,17.46,94.75,56.40,198.71,40.3964996,-4.0231853,613.90,0.16
70,17.50,94.75,56.44,201.94,40.3964996,-4.0231810,613.50,0.62
71,17.42,94.75,56.48,201.29,40.3964996,-4.0231786,613.30,0.45
72,17.41,94.75,56.59,216.13,40.3964996,-4.0231771,613.60,0.19
73,17.44,94.75,56.38,247.74,40.3964958,-4.0231757,613.50,0.24
74,17.37,94.75,56.45,193.55,40.3964958,-4.0231738,613.80,0.57
75,17.33,94.75,56.46,160.65,40.3964958,-4.0231714,613.20,0.42
76,17.41,94.75,56.30,203.87,40.3964958,-4.0231705,613.40,0.36
77,17.41,94.75,56.38,215.48,40.3964996,-4.0231705,614.00,0.09
78,17.42,94.75,56.52,234.84,40.3964996,-4.0231695,614.10,0.08
79,17.48,94.75,56.48,237.42,40.3964996,-4.0231705,614.20,0.35
80,17.48,94.75,56.96,231.61,40.3964996,-4.0231705,614.30,0.15
81,17.50,94.75,56.85,203.87,40.3964996,-4.0231686,614.40,0.41
82,17.46,94.75,57.04,179.35,40.3964996,-4.0231719,614.60,1.08
83,17.48,94.75,56.86,181.29,40.3964996,-4.0231719,614.70,0.61
84,17.54,94.75,56.84,192.26,40.3964996,-4.0231738,614.30,0.62
85,17.52,94.75,56.64,221.29,40.3964958,-4.0231757,613.50,0.07
86,17.50,94.75,56.64,229.03,40.3964958,-4.0231762,613.80,0.15
87,17.52,94.75,56.60,232.90,40.3964958,-4.0231771,613.90,0.01
